Job Title,Job Link,Company Name,Location,Salary,Job Description,Posted Text,Post Date,Job Age
Team Leader - Warehouse,"https://www.glassdoor.co.in/job-listing/team-leader-warehouse-nokia-JV_KO0,21_KE22,27.htm?jl=1009787782101",NOKIA4.0,India,,"Responsible for leading and supervising warehouse shift operations, ensuring timely material handling, putaway, picking, and dispatch. The Team Leader coordinates manpower, enforces safety and 5S standards, monitors shift KPIs, and ensures smooth communication between shifts and cross-functional teams.
Supervise and coordinate all warehouse activities during the assigned shift to ensure smooth, uninterrupted operations.
Assign daily responsibilities to team members and monitor their performance to achieve shift targets efficiently.
Ensure timely and accurate execution of material putaway, picking, staging, and dispatch processes.
Enforce safety standards, proper PPE usage, and adherence to 5S practices throughout the shift.
Support inventory accuracy through regular cycle counts, quick resolution of discrepancies, and accurate SAP/WMS transactions.
Maintain detailed shift handover logs, communicate updates to the next shift, and promptly escalate operational issues for resolution.
Train and support new team members on warehouse SOPs and safety practices, while contributing to performance monitoring and continuous improvement efforts.
You Have:
Diploma or degree from Logistics, Supply Chain Management, Mechanical, or Industrial Engineering background with 3 plus years of experience in material handling, inventory transactions, and MHE coordination
Proficient in Microsoft Excel, including Pivot Tables, VLOOKUP, and basic data analysis for shift reporting
Familiarity with SAP/WMS tools preferred
Prior experience in a team lead or supervisory role is an advantage
It would be nice if you also have:
Certifications in Warehouse Management Systems (WMS), Lean, or Safety (e.g., IOSH) are added advantages
Come create the technology that helps the world act together


Nokia is committed to innovation and technology leadership across mobile, fixed and cloud networks. Your career here will have a positive impact on people’s lives and will help us build the capabilities needed for a more productive, sustainable, and inclusive world.

We challenge ourselves to create an inclusive way of working where we are open to new ideas, empowered to take risks and fearless to bring our authentic selves to work


What we offer


Nokia offers continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered.


Nokia is committed to inclusion and is an equal opportunity employer


Nokia has received the following recognitions for its commitment to inclusion & equality:

One of the World’s Most Ethical Companies by Ethisphere
Gender-Equality Index by Bloomberg
Workplace Pride Global Benchmark


At Nokia, we act inclusively and respect the uniqueness of people. Nokia’s employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law.

We are committed to a culture of inclusion built upon our core value of respect.


Join us and be part of a company where you will feel included and empowered to succeed.",,,
Legal Coordinator (Contract),"https://www.glassdoor.co.in/job-listing/legal-coordinator-contract-transport-and-logistics-JV_KO0,26_KE27,50.htm?jl=1009770252753",Transport and Logistics4.1,India,,"Opportunity
Job Description
Contract role for 12 months.
Responsible for handling cargo claims.
Responsible for the management and administration of all claims filed Globally.
Responsible for the coordination with local Front desk and guiding them with regards to claim handling.
Provide proactive, efficient, and fair but firm claims and recovery management and obtain best possible claims and recovery settlement for the Group.
Provide technical expertise and advice related to incidents, claims matter and loss prevention initiatives.
Responsible for handling cargo claims from all claimants as per set guidelines.
Key Responsibilities
Handling cargo Claims as per the set guidelines.
Having a customer centric approach at the same time keeping in mind the legal requirement and closing claim within legal ambit
Establish appropriate claims handling relationship in respective management area.
Assess and document factual background of claims matters; establish and update claims file.
Safeguard rights of recovery and drive recovery actions.
Liaise with internal and external stakeholders, such as claimants (customer, recovery agents, lawyer, under writer and P&I) third party claims administrators etc.
Enter and update data in the claims data base (case management) according to corporate guideline.
Manage and settle claims matters in accordance with corporate guideline.
Provide advice and support to Local claim desk related to any claim’s matters.
Keeping data quality at top level.
Formulate, drive and/or support loss prevention initiatives.
Education:
Graduate from recognized university
LLB / LLM or MBA degree would be preferable
Special Skills (Functional/Technical):
Good Analytical skills.
The knowledge of structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.
The knowledge of local maritime laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the political process directly impacting claims handling of the region.
Good Comprehension skills
Excellent team player
Well organized to carry out multi-tasks
Flexible with changes
Take ownership and responsibility of the job assigned
Eye for the details
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
Logistics Coordinator- US Shift,"https://www.glassdoor.co.in/job-listing/logistics-coordinator-us-shift-fictiv-JV_IC2940587_KO0,30_KE31,37.htm?jl=1009776146596",Fictiv3.7,Bengaluru,₹2L - ₹5L (Glassdoor Est.),"Fictiv Exists to Enable Hardware Innovators to Build Better Products, Faster

Fictiv, coined the ""AWS of manufacturing,"" is a leading technology company transforming the $350 billion manufacturing industry. Our cutting-edge cloud platform uses AI and machine learning algorithms to help companies build hardware at the speed of software. Come join our growing team!
What's in it for you?
List at least two comparative wins for this role over another that someone might consider. Example follows.
Opportunity To Unlock Your Creativity
Think of all the times you were held back from trying new ideas because you were boxed in by bureaucratic legacy processes or old school tactics. Having a growth mindset is deeply ingrained into our company culture since day 1 so Fictiv is an environment where you have the creative liberty and support of the team to try big bold ideas to achieve our sales and customer goals.
Opportunity To Grow Your Career
There are plenty of sales jobs out there. The question is whether any of them will help you grow in your career? Will you be challenged by teammates to achieve your potential? Or are they roles that will ask you to do more of what you've already mastered. At Fictiv, you'll be surrounded by supportive teammates who will push you to be your best through their curiosity and passion.

Your role as a Logistics Coordinator, GCC will be to support and drive improvement to our critical manufacturing functions. We have two sets of customers - our builders, who order parts through us, and our manufacturing partners, who manufacture and assemble these parts - and you'll take the inputs from our builders and work with our manufacturing partners to deliver on our builders' expectations. At Fictiv, we believe in creating and empowering product innovators to create, and you'll be playing a critical role in making that happen.

What is in it for you?
This role provides a high-impact opportunity for professionals who want to go beyond traditional logistics roles. Comparative advantages include:
Strategic Influence Over Operations:
Unlike typical logistics roles that are limited to execution, this position involves direct interaction with cross-functional teams, exception management, and carrier performance tracking, providing exposure to strategic decision-making and business process improvements.
Ownership and Visibility:
Rather than working in a siloed environment, this role offers end-to-end ownership over order fulfillment, from documentation to delivery. This increases personal accountability, but also offers greater visibility into business outcomes, contributing to faster career growth and deeper functional expertise.
Impact in this Role
This Logistics Coordinator role is instrumental in ensuring operational excellence across our US logistics network. You will be at the center of our supply chain, ensuring that shipments are delivered on time, exceptions are resolved quickly, and cost efficiency is maintained through proactive analysis.
The value of this role extends beyond shipment coordination; it strengthens customer trust, supports scalable logistics operations, and contributes to continuous improvement efforts across the organization.
We recognize that impactful team members come from a variety of backgrounds and experiences. If this role sounds exciting, even if you don't meet every listed requirement, we encourage you to apply. Research shows that women often hold back unless they meet 100% of the criteria, while men tend to apply with only 60%. We value drive, adaptability, and a learning mindset just as much as direct experience.
What You'll Be Doing
Coordinating US domestic and US Export shipments: Prepare shipping documentation and ensure that our products are sent to our customers on time.
Order Tracking: Maintain visibility of the status of all our orders and determine risk mitigation strategies to maximize the chance of on-time delivery.
File claims and troubleshoot issues with carriers for damaged and lost products to ensure resolutions and reimbursements. You will also be responsible for supporting issues of routing, direct ship pickups, and carrier scheduling. When necessary, coordinate pickups, using courier services from our manufacturing partners to our customers.
Exception Management: Manage the shipping exceptions. As manufacturing exceptions arise, coordinate with the customer success team and our manufacturing partners to determine the shipping method that best meets our customers' needs to deliver the goods on time.
Develop and maintain key metrics to keep track of performance against KPIs for US-based logistics.
Collaborate with other departments to ensure seamless and efficient integration of logistics processes with end-to-end company workflows.
Validate logistics partner invoices to ensure accuracy and compliance with agreed rates.
Conduct monthly Freight Cost Analysis, identifying cost trends and areas for optimization.
Continuous Improvement and Training.
Provide recommendations to reduce logistics expenses while maintaining service efficiency
Identifying areas of improvement within North American logistics operations, suggesting management solutions, and, when applicable, owning the successful completion of those continuous improvement exercises.
At Fictiv, everybody learns from other members. Take the time to analyze and understand Fictiv's current business operations and share your knowledge with other team members.
Desired Traits
Beyond core Fictiv values, the following traits will be prioritized during the interview process, as they closely align with success in this role and reflect the expectations of key stakeholder personas:
Meticulous and detail-oriented - You have a strong inclination for accuracy and thorough documentation, ensuring nothing falls through the cracks in time-sensitive logistics operations.
Data-driven mindset - You make decisions based on facts and trends, not assumptions, and you use metrics to guide action.
Clear communicator - You are skilled in both verbal and written communication, ensuring alignment across internal teams and external partners.
Self-starter - You take ownership of your work, manage your time effectively, and complete tasks without needing close supervision.
Possible Backgrounds:
Logistics Executive / Coordinator / Specialist
Years of Experience: 2+ years
Specific Requirement: Hands-on experience coordinating domestic and international shipments, managing shipping documentation, and tracking orders.
Preferred Experience: Familiarity with express carriers (UPS, FedEx), air and ground shipments, and freight forwarding operations.
Nice to Have: Experience working with manufacturing partners and handling shipping exceptions.
Customer Service Coordinator / Specialist in Logistics or Supply Chain
Years of Experience: 2+ years
Specific Requirement: Skilled in resolving shipment exceptions and collaborating cross-functionally to meet delivery commitments.
Preferred Experience: Working closely with manufacturing or production teams on order fulfillment logistics.

Nice to Have: Experience validating carrier invoices and exposure to analytics tools for freight cost analysis.

About Fictiv

Our Digital Manufacturing Ecosystem is transforming how the next rockets, self-driving cars, and life-saving robots are designed, developed and delivered to customers around the world.

This transformation is made possible through our technology-backed platform, our global network of manufacturing partners, and our people with deep expertise in hardware and software development.

We're actively seeking potential teammates who can bring diverse perspectives and experience to our culture and company. We believe inclusion is the best way to create a strong, empathetic team. Our belief is that the best team is born from an environment that emphasizes respect, honesty, collaboration, and growth.

We encourage applications from members of underrepresented groups, including but not limited to women, members of the LGBTQ community, people of color, people with disabilities, and veterans.",,,
Customer Experience Associate,"https://www.glassdoor.co.in/job-listing/customer-experience-associate-maersk-line-JV_KO0,29_KE30,41.htm?jl=1009757883425",Maersk Line4.1,India,,"Opportunity
Job Location: Talegaon, Pune
Position Summary

This position is responsible to deliver on the SCM Strategy in the geographical area covered by Maersk Area office. Deliver according to the financial and operational targets defined by some of the global customers of Maersk.

Job Responsibilities
Build strong and lasting relationship with the with all stakeholders within the customer’s organisation
Ensure all customer issues and queries are attended to on priority with minimal escalations
Establish relationship-based customer service delivery
Work with the team to deliver top quartile results on customer experience and drive owner mindset for Business
Conversion of the customer demand forecast into capacity plan at a plant level
Work with overseas customer offices on shipment prioritization matrices as well as carrier allocation
Collaborating with the customer, their plants as well as other 3PLs (CHAs, transport operators, carriers) to ensure seamless logistics planning
Coordination of Exports and Import processes across transport models - Ocean, Air, LCL - from cargo readiness & booking to BL release stage
Coordination of material/container pick up with the transport provider, CHA for customs clearance, etc.
Coordinate with the in-plant teams (packaging & MHE) to ensure packaging is export-worthy as well as MHE is/are available on time to ensure loading of product into container/outbound vehicle
Preparation of export-related documents such as CI, PL, SI, BL as well as document pouches and pre-alerts to destinations
Obtain exceptional cost approvals from the plant team as may be needed
Maintain DSRs & other reports
Education:
Bachelor's degree or equivalent in business or related field
Experience:
SCM background with proper understanding of international supply chains
Minimum 5 years of work Experience from operational roles in Logistic industry
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
Team Co-ordinator,"https://www.glassdoor.co.in/job-listing/team-co-ordinator-maersk-line-JV_KO0,17_KE18,29.htm?jl=1009777444823",Maersk Line4.1,India,,"Opportunity
Team Coordinator – Global Data Analytics, Technology (Maersk)
This position will be based in Bangalore

A.P. Moller - Maersk

A.P. Moller – Maersk is the global leader in container shipping services. The business operates in 130 countries and employs 80,000 staff. An integrated container logistics company, Maersk aims to connect and simplify its customers’ supply chains.

Today, we have more than 180 nationalities represented in our workforce across 131 Countries and this mean, we have elevated level of responsibility to continue to build inclusive workforce that is truly representative of our customers and their customers and our vendor partners too.

The Brief

In this role, you will be the backbone of seamless operations, ensuring smooth administrative workflows and efficient expense management. Your expertise will help streamline travel coordination, vendor interactions, and employee support, enabling teams to focus on their core priorities.

You’ll take ownership of critical behind-the-scenes tasks—from managing invoices and travel logistics to maintaining organizational resources and coordinating workplace essentials. With a keen eye for detail and a proactive approach, you’ll solve challenges before they arise and keep day-to-day operations running effortlessly.

This role is perfect for someone who thrives in a dynamic environment, enjoys problem-solving, and takes pride in delivering organized, high-quality support. If you’re passionate about efficiency, collaboration, and making an impact through operational excellence, this opportunity is for you.

What I'll be doing – your accountabilities/responsibilities?
Expense management incl invoice handling and travel expense settlement
Travel booking and visa handling
Managing the calendar of the Two LT that you will be supporting.
Maintain tasks e.g., org charts, subscriptions, SharePoint sites
Point of contact for administrative questions and requests
Venue booking for meetings/offsites
Order of gifts/flowers
Update of distribution lists
On and off boarding of employees within the teams
Qualifications & Requirements
Experience: 5+ years as an Executive Assistant or in a similar administrative role.
Skills: Strong organizational, communication, and time-management abilities.
Technical: Proficient in Microsoft Office (Outlook, Excel, PowerPoint) and expense/travel tools (e.g.,Concur).
Detail-Oriented: High accuracy in handling expenses, invoices, and confidential data.
Adaptable: Ability to prioritize tasks and solve problems efficiently.
As a performance-oriented company, we strive to always recruit the best person for the job – regardless of gender, age, nationality, sexual orientation or religious beliefs. We are proud of our diversity and see it as a genuine source of strength for building high-performing teams.
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
Customer Experience Consultant,"https://www.glassdoor.co.in/job-listing/customer-experience-consultant-maersk-line-JV_KO0,30_KE31,42.htm?jl=1009776519202",Maersk Line4.1,India,,"Opportunity
Key Responsibilities
Client Strategy & Planning
Develop and manage relationships with key clients in alignment with Maersk’s global strategy and account plans to enhance market share for Maersk Ocean and Logistics & Services products.
Define customer value propositions and collaborate with Sales, Program Management, CSP, and Product teams to create end-to-end solutions that drive revenue growth across various product lines.
Customer Satisfaction
Ensure a seamless customer experience by delivering on global and regional value propositions.
Coordinate and engage the global Maersk team across functions, products, and regions to enhance overall customer experience.
Gain deep insights into customers' business needs and challenges, identifying the right solutions within Maersk’s product portfolio or co-developing custom solutions as necessary.
Oversee smooth business onboarding and ensure contract compliance.
Customer Relationship Management
Establish and maintain relationships with key stakeholders, influencers, and decision-makers within client organizations.
Your Role Includes:
Understanding customer business needs and executing processes according to established procedures and performance metrics.
Building and maintaining long-term relationships with customers and internal teams.
Proactively identifying and resolving program exceptions in collaboration with relevant teams.
Continuously improving procedures and addressing service level gaps in response to business changes.
Acting as a key liaison between Maersk and its clients to enhance communication and understanding.
What You Need to Succeed:
Expertise in problem resolution, root cause analysis, and implementing corrective actions.
Strong technical proficiency, including familiarity with Maersk systems and MS Office tools.
Excellent verbal and written communication skills.
A customer-focused approach with the ability to perform well under pressure.
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
Logistics Operator,"https://www.glassdoor.co.in/job-listing/logistics-operator-cencora-JV_IC2851180_KO0,18_KE19,26.htm?jl=1009767687884",Cencora3.5,Mumbai,,"Our team members are at the heart of everything we do. At Cencora, we are united in our responsibility to create healthier futures, and every person here is essential to us being able to deliver on that purpose. If you want to make a difference at the center of health, come join our innovative company and help us improve the lives of people and animals everywhere. Apply today!
Job Details
World Courier offers specialized healthcare logistics solutions designed to meet the unique needs of pharmaceutical companies globally. Our expertise in navigating complex regulations, ensuring timely deliveries, and maintaining temperature-controlled environments makes us a trusted partner in critical healthcare product transportation. Our full range of medical logistics solutions keep your momentum going.
At World Courier, we provide comprehensive healthcare logistics services that encompass various aspects of medical supply chain management. From clinical trials to commercial supply chains, our solutions are tailored to ensure efficiency, compliance, and reliability.
Responsibilities:
Comply with World Courier Standard Operating Procedures (SOP), which contain specific instructions to take the steps concerning the reception and shipment of materials
Compare the material received with the documentation forwarded in order to certify concordance or disagreement
Prepare box contents according to what´s described on WC Packing List
The Operator must have the training and the capability required to control materials characteristics (described in their labels): ID number, expiration date, patient’s kit, and temperature and storage conditions as well as any additional information that could be useful
The Operator must be specifically trained in order to perform activities related to shipments such as the packaging preparation, box closing and labeling
Perform activities on the Operative System CTM-STAR related to the Inbound, Outbound, Return and Relocation processes
Have deep knowledge and carry out relabeling, stock, balance and relocations processes developed at the Facility
Perform any other duties the employee has been trained for
.
Requirements:
English language
Experience logistics/warehouse - will be a plus
Bachelor Degree
Computer skills
Adaptability to working hours: morning and afternoon shifts - Monday to Saturday
Good communication skills
Pleasant & proactive manner
Attention to detail
Initiative and commonsense
Reliable and accountable
Ability to work in a team environment
What Cencora offers
Benefit offerings outside the US may vary by country and will be aligned to local market practice. The eligibility and effective date may differ for some benefits and for team members covered under collective bargaining agreements.
Full time
Affiliated Companies
Affiliated Companies: World Courier (India) Private Limited
Equal Employment Opportunity
Cencora is committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status or membership in any other class protected by federal, state or local law.
The company’s continued success depends on the full and effective utilization of qualified individuals. Therefore, harassment is prohibited and all matters related to recruiting, training, compensation, benefits, promotions and transfers comply with equal opportunity principles and are non-discriminatory.
Cencora is committed to providing reasonable accommodations to individuals with disabilities during the employment process which are consistent with legal requirements. If you wish to request an accommodation while seeking employment, please call 888.692.2272 or email [email protected]. We will make accommodation determinations on a request-by-request basis. Messages and emails regarding anything other than accommodations requests will not be returned",,,
Logistics Analyst,"https://www.glassdoor.co.in/job-listing/logistics-analyst-kimberly-clark-JV_IC2851180_KO0,17_KE18,32.htm?jl=1009787110045",Kimberly-Clark4.0,Mumbai,,"You’re not the person who will settle for just any role. Neither are we. Because we’re out to create Better Care for a Better World, and that takes a certain kind of person and teams who care about making a difference. Here, you’ll bring your professional expertise, talent, and drive to building and managing our portfolio of iconic, ground-breaking brands. In this role, you’ll help us deliver better care for billions of people around the world. It starts with YOU.
The Logistics Analyst role is an executive position that owns the overall Logistics cost work process. The scope includes owning the process of controlling Distribution Cost % NSV across all three geographies - LATAM, EMEA and ISEA - by analyzing, understanding and publishing Distribution cost % NSV plan vs actual, loss RCA and developing action plans. The role entails working with cluster logistics and regional finance teams to create, track and deliver annual 3-5% improvement in logistics productivity initiatives, and set up and track in-process measures.
In this role, you will:
This role owns the EM Logistics cost governance work process to create baseline forecast, plan vs actual tracking, RCA tracking and action planning, and work with cluster logistics and regional finance teams to create, track and deliver of logistics productivity initiatives to deliver a 3-5% YoY improvement
Develop Logistics cost productivity projections for all EM markets (56 in-market logistics operations and 16+ mills) for >3000+ logistics lanes
Create and own logistics cost QF projections, alignment and submission for all EM markets; Own Logistics Gross Productivity delivery in Wave
Identify logistics productivity improvement opportunities and drive projects with cross functional teams to deliver improvements
Work with Planning, Cluster logistics teams, SND team, ESC team to drive improvement initiatives for Raw Material simplification
Plan vs actual Logistics cost delivery – Root cause analysis for actual vs plan deviation for both Distribution cost per CBM, and Distribution cost per NSV; track initiative progress vs plan
Own Logistics “Share and Reapply” implementation framework/initiatives for EM - Work with Logistics leaders and ESC leaders to ensure result delivery
Develop and maintain Power BI reports for tracking and analyzing SKU productivity and driving visibility of the metric across 56 markets.
About Us
Huggies®. Kleenex®. Cottonelle®. Scott®. Kotex®. Poise®. Depend®. Kimberly-Clark Professional®. You already know our legendary brands—and so does the rest of the world. In fact, millions of people use Kimberly-Clark products every day. We know these amazing Kimberly-Clark products wouldn’t exist without talented professionals, like you.
At Kimberly-Clark, you’ll be part of the best team committed to driving innovation, growth and impact. We’re founded on more than 150 years of market leadership, and we’re always looking for new and better ways to perform – so there’s your open door of opportunity. It’s all here for you at Kimberly-Clark.
Led by Purpose. Driven by You.
About You
You perform at the highest level possible, and you appreciate a performance culture fueled by authentic caring. You want to be part of a company actively dedicated to sustainability, inclusion, wellbeing, and career development.
You love what you do, especially when the work you do makes a difference. At Kimberly-Clark, we’re constantly exploring new ideas on how, when, and where we can best achieve results. When you join our team, you’ll experience Flex That Works: flexible (hybrid) work arrangements that empower you to have purposeful time in the office and partner with your leader to make flexibility work for both you and the business.
In one of our Logistics Analyst roles, you’ll focus on winning with consumers and the market, while putting safety, mutual respect, and human dignity at the center. To succeed in this role, you will need the following qualifications:
4+ years of experience in logistics operations and analytics
Strong understanding of logistics costs drivers
Hands on experience with SAP–APO SNP, BW/BI, advance excel
Strong analytical skills to evaluate root cause analysis, ability to work with interrelated data and create hypothesis, thoroughness and problem-solving skills; ability to collaborate and influence based on data
Strong interpersonal, communication and presentation skills; demonstrated skills interacting at various levels of an organization
Bachelor’s Degree in a Business, Supply Chain, Science, Engineering or related discipline
To Be Considered
Click the Apply button and complete the online application process. A member of our recruiting team will review your application and follow up if you seem like a great fit for this role.
In the meantime, please check out the careers website.
And finally, the fine print….
For Kimberly-Clark to grow and prosper, we must be an inclusive organization that applies the diverse experiences and passions of its team members to brands that make life better for people all around the world. We actively seek to build a workforce that reflects the experiences of our consumers. When you bring your original thinking to Kimberly-Clark, you fuel the continued success of our enterprise. We are a committed equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation, gender identity, age, pregnancy, genetic information, citizenship status, or any other characteristic protected by law.
The statements above are intended to describe the general nature and level of work performed by employees assigned to this classification. Statements are not intended to be construed as an exhaustive list of all duties, responsibilities and skills required for this position.
Employment is subject to verification of pre-screening tests, which may include drug screening, background check, and DMV check.
#LI-Hybrid
.",,,
"Global Supply Manager, International Logistics","https://www.glassdoor.co.in/job-listing/global-supply-manager-international-logistics-tesla-JV_IC2851180_KO0,45_KE46,51.htm?jl=1009737017120",Tesla3.5,Mumbai,₹4L (Glassdoor Est.),"What to Expect
We’re looking for highly motivated logistics professional to support Global Logistics procurement.
This role can be based in India
The ideal candidate will be responsible for developing the strategy, running RFP’s, vendor management, understanding and procuring services per operations and business requirements.
The candidate will be looking after all logistics activities related to business verticals for Tesla Motors and Energy as well as spare parts and service logistics.
The candidate must have a track record of significant achievements, tremendous drive, and a willingness to roll up their sleeves.
What You'll Do Owner of RFI's, RFP's and RFQ's - ensuring all commercial terms are agreed and documented
 Ensures NDA, SOW's and Master Purchase Agreement are positioned appropriately before business is initiated
 Develop strategies around the Finished Vehicle, Warehousing, Customs and Service Parts Logistics industries to drive price negotiations processes and ensure best in-class pricing
 Knowledge of vehicle transport, ground trucking market, 3PL's, Air, Ocean and LTL contracts
 Responsible for maintaining productive global transportation and ancillary service contracts
 Drive continual cost reduction and avoidance initiatives through strategic price negotiations
 Address all areas of Special Equipment management related to category business plans, global market and pricing analysis and procurement support
 Lead purchasing activities with internal stakeholders: Finance, Energy Distribution, Logistics Operations, Trade Teams and Engineering departments and develop bid specifications, negotiate contracts, and consolidate results to deliver sourcing recommendations
 Analyse current spend and evaluate current suppliers
 Consolidate spend across supply base to create leverage, analyse purchasing trends and develop sourcing alternatives. Identify new high potential suppliers on global basis
 Conduct negotiations and secure comprehensive agreements with suppliers
 Maintain a high level of industry expertise and supplier/market conditions Manage respective supplier relationships and performance, including but not limited to dispute resolution
 Develop key performance measures for chosen suppliers and negotiate on multiple variables to award longer-term strategic contracts that result in significant cost reduction and improved service levels
 Evaluate supplier business proposals and present recommendations that will result in cost savings, avoidance, or containment
 Develop sourcing and negotiation strategies that deliver against business objectives and achieves sustainable relationships with suppliers
 Create competitive environments with suppliers to support a negotiation strategy
 Evaluate and provide guidance on final selection of suppliers; Perform value analysis for final selection of suppliers
Evaluate supplier core competencies and competitive positioning using industry cost models

What You'll Bring Bachelor’s degree in business, Supply Chain, Operations Management, Engineering and/or equivalent experience in Supply Chain or evidence of exceptional ability
 Ability to multi-task, prioritize and work in an extremely fast-paced environment Project related experience in Special Logistic Equipment Services
 5-6+ years of related experience in Vendor management
 Master’s in supply chain and / or related field or MBA in supply chain preferred
 Track record in planning, execution, and delivery of projects.
 Program management expertise
 Knowledge of purchasing processes (SOP's, RFP / RFQ / RFI's, PO's etc.)
 Superior negotiation, organization, analytical, and communication skills, ability to work in a fast-paced environment and deliver high quality results
 Excellent written and oral communication, and interpersonal skills, including an ability to effectively communicate across all levels of an organization, technical and non-technical audience
Tesla is an Equal Opportunity / Affirmative Action employer committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, national origin, disability, protected veteran status, gender identity or any other factor protected by applicable federal, state or local laws.

Tesla is also committed to working with and providing reasonable accommodations to individuals with disabilities. Please let your recruiter know if you need an accommodation at any point during the interview process.",,,
Senior Analyst - Logistics,"https://www.glassdoor.co.in/job-listing/senior-analyst-logistics-flex-ltd-JV_IC2856202_KO0,24_KE25,33.htm?jl=1009784361475",Flex LTD3.8,Pune,₹4L - ₹5L (Glassdoor Est.),"Flex is the diversified manufacturing partner of choice that helps market-leading brands design, build and deliver innovative products that improve the world.
A career at Flex offers the opportunity to make a difference and invest in your growth in a respectful, inclusive, and collaborative environment. If you are excited about a role but don't meet every bullet point, we encourage you to apply and join us to create the extraordinary.
Job Summary
To support our extraordinary teams who build great products and contribute to our growth, we’re looking to add a Senior Analyst – Logistics in Pune, India.
The Senior Analyst - Logistics should quickly and accurately process purchase orders in a fast-paced environment. Additionally, should have excellent stake holders service skills and works well in a team to consistently meet challenging performance targets.
What a typical day looks like:
Procure ad hoc rates to support solution requirements - air / ocean / express
Managing the rate validity & variable rates
Manage and maintain the transportation analysis and decision support systems
Transportation Rate Benchmarks
Monthly Site Metrics and Logistics Savings Plans Reporting
Develop rate databases
Maintain Global Transportation Rates with suppliers
Contract Management
The experience we’re looking to add to our team:
Education: Bachelor’s Degree
Experience: 0 – 3 years
Proficiency: ERP/P2P systems BAAN / SAP/ Oracle
Mandatory Knowledge of computer software applications, MS Excel, Word & PowerPoint (PF).
Excellent communication skills MANDATORY
Here are a few examples of what you will get for the great work you provide:
Health Insurance
PTO
Job Category
Global Procurement & Supply Chain
Required Skills:
Optional Skills:
Flex pays for all costs associated with the application, interview or offer process, a candidate will not be asked for any payment related to these costs.
Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. We do not discriminate based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status, or any other status protected by law. We're happy to provide reasonable accommodations to those with a disability for assistance in the application process. Please email [email protected] and we'll discuss your specific situation and next steps (NOTE: this email does not accept or consider resumes or applications. This is only for disability assistance. To be considered for a position at Flex, you must complete the application process first).",,,
